Accession;Peptide count;Unique peptides;Confidence score;Anova (p);q Value;Max fold change;Power;Highest mean condition;Lowest mean condition;Mass;Description;W2_20241206_LSanders_K1_01;W2_20241206_LSanders_K1_02;W2_20241206_LSanders_K1_03;W4_20241206_LSanders_K2_01;W4_20241206_LSanders_K2_02;W4_20241206_LSanders_K2_03;W8_20241206_LSanders_K3_01;W8_20241206_LSanders_K3_02;W8_20241206_LSanders_K3_03;W12_20241206_LSanders_K4_01;W12_20241206_LSanders_K4_02;W12_20241206_LSanders_K4_03;W16_20241206_LSanders_K5_01;W16_20241206_LSanders_K5_02;W16_20241206_LSanders_K5_03;W20_20241206_LSanders_K6_01;W20_20241206_LSanders_K6_02;W20_20241206_LSanders_K6_03;W24_20241206_LSanders_K7_01;W24_20241206_LSanders_K7_02;W24_20241206_LSanders_K7_03;W28_20241206_LSanders_K8_01;W28_20241206_LSanders_K8_02;W28_20241206_LSanders_K8_03
Q9NQ50;4;2;27.4619;0;0;9.3659073446855;1;W8;W28;24490.4019;Large ribosomal subunit protein mL40 OS=Homo sapiens OX=9606 GN=MRPL40 PE=1 SV=1;275616.49078651;266887.347754236;261249.012897846;283904.175409359;309941.278818151;304897.05137867;1224992.8595257;1202628.81694672;1210820.29721495;875474.953716425;888446.608464365;874374.595302296;701073.757389095;669895.493284103;683647.443683215;688884.998740059;717225.404355644;653239.223087403;911692.207882454;867722.445763511;893074.223543733;123830.673368174;138020.962127816;126625.619273346
Q14BN4;11;8;42.1844;0;0;5.32260729567303;1;W28;W20;96053.8241;Sarcolemmal membrane-associated protein OS=Homo sapiens OX=9606 GN=SLMAP PE=1 SV=1;58958.1263198658;62526.3807526063;63025.0061269373;104912.096979871;114557.97605489;124391.135581357;59293.997089272;60195.3335264289;60372.6027034641;63902.3212658527;65911.5897822452;68390.6393973752;79891.8194880493;80003.5907191082;85044.3944193683;57167.1989087967;59547.714039926;61647.587635616;140186.986950638;137921.455883397;140082.730416262;316770.312932039;294654.530312328;337928.703640319
Q96AY4;10;8;66.513;0;0;12.5312173243265;1;W8;W28;272823.8533;Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=4;44829.1439931044;39476.9042106155;39432.9010372298;59482.5756883986;65343.3105011102;68219.2689934396;496391.577301558;505906.177032428;464460.025275353;395771.173181491;366509.917668995;371292.051227505;223345.549507978;232139.915319371;234170.642500126;391116.303980184;383228.877062947;366094.807507019;44285.4592019078;40584.8647879895;39666.8244331695;36155.4936385842;36653.3610985404;44239.4528332787
Q96KN2;15;12;93.5882;0;0;7.65602634659536;1;W24;W28;56806.2317;Beta-Ala-His dipeptidase OS=Homo sapiens OX=9606 GN=CNDP1 PE=1 SV=5;56505.8291691937;54187.8112635032;53594.4529431608;13723.8162606132;14531.9638232305;14065.3223528063;43546.5955024089;43236.8687768274;41254.6612771482;49387.4196832693;45090.1182036653;49049.9692299344;94261.3676380507;95455.1135839026;98739.98745753;59359.428510251;63175.5857410464;64038.1914809049;96590.1969081778;99005.7901515802;98467.113689083;12399.1078426304;12030.2791806872;13979.9767166088
Q13609;1;1;6.884;0;0;16.7164426739396;1;W28;W8;35789.052;Deoxyribonuclease gamma OS=Homo sapiens OX=9606 GN=DNASE1L3 PE=1 SV=1;13348.8878605672;11844.4340236806;10947.5082129171;13528.722754504;11994.8566877477;11724.6401683788;927.167888222208;768.578966853489;768.498553965137;1694.09963695864;1665.80095253027;1907.4131887148;3935.99702417207;4363.28230557442;4130.93927248668;2113.25774943326;2219.9048034165;1762.15889207922;9571.78558143977;8878.79322978542;10064.0462522371;15205.9137256961;12796.04788168;13191.4555073737
Q16610;23;20;153.8905;0;0;4.2194069126654;1;W28;W16;62270.9165;Extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=ECM1 PE=1 SV=2;105601.919274861;104257.679598053;104418.26857981;211611.142151421;222150.331757943;226574.549784952;111038.19564677;104124.864565429;105145.257592886;94636.8843618122;99872.503694504;95576.6693586027;74267.9933159317;76229.5411073217;76229.9265373963;81093.9035981923;80111.5004780464;81421.2714569542;100095.478172491;101782.584370736;100627.672541578;303690.858946107;322903.799975187;330060.757147146
Q92503;5;2;36.8677;0;0;4.22567767629608;1;W28;W8;82105.15;SEC14-like protein 1 OS=Homo sapiens OX=9606 GN=SEC14L1 PE=1 SV=2;67029.4963597212;62417.5789014024;60590.6238449367;50087.3586557212;50042.4286127658;50823.9153210105;17481.4583181955;17429.1616050935;17754.9654817415;19802.6412409454;21200.2065889919;21583.8122544205;45617.2407714278;45819.8873342797;47346.6900049681;35576.7553971305;34917.0944458136;36639.0533205039;69078.6457020499;69110.8381153985;70363.1088395372;75717.616675844;76367.0104362297;70463.1614430277
P00450;136;127;932.3209;1.11022302462516E-16;1.00504400123962E-15;2.6691755836915;1;W24;W8;123074.8251;Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=2;581984.4576149;539521.588313152;530647.456055729;647077.087762982;679610.676217383;701166.33409116;287353.398232881;281782.691577029;278213.131011429;297400.319490344;305582.278813406;300169.429403941;540027.494964978;543879.726629185;561551.138256011;398013.766903643;425838.943281414;417629.862154089;764445.083146871;747558.064317729;749720.703611737;651425.126559888;671300.098333708;719626.309194367
P01024;488;439;2847.3391;1.11022302462516E-16;1.00504400123962E-15;2.49941471165589;1;W24;W12;188688.0949;Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2;895640.296966149;894384.566025684;913748.967596143;1191679.06793874;1227360.1301391;1274925.07027219;721097.272399736;672716.94903534;707629.795471722;533871.30930172;508590.152328089;533282.32930629;720835.11568936;751743.256866331;780354.383783632;604778.636855282;594054.421191733;633898.759608035;1296496.04315649;1317866.17220682;1324074.9975028;1254426.61932557;1203145.28340823;1305989.50388118
P01877;24;3;247.9391;1.11022302462516E-16;1.00504400123962E-15;16.9422766282395;1;W8;W2;43189.3768;Immunoglobulin heavy constant alpha 2 OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=5;1557.15511513223;1469.77689736449;1528.63867966217;1537.30371115731;1504.74757218403;1577.38740977606;23133.9705624701;25370.6071232866;28677.1611802998;5287.82475486979;5347.04813807741;6241.96047849091;13262.2954982402;10152.470256095;13214.1588017716;7824.20764554553;8490.41389783804;8119.57123589032;7807.77590878885;6597.05671089871;6014.81876342042;2180.49094355925;2103.72261721331;1997.12060321715
P03952;40;36;286.9341;1.11022302462516E-16;1.00504400123962E-15;4.19316835829885;1;W8;W28;73452.7847;Plasma kallikrein OS=Homo sapiens OX=9606 GN=KLKB1 PE=1 SV=2;114075.831872336;125074.115378157;122290.410620463;86384.1828318369;94384.6454279141;94664.9686289375;346990.58511117;354637.036465082;342340.299203993;330273.538059112;318067.411999393;290551.282878858;234703.459264869;255716.08083875;268675.181841741;248293.118376951;266338.986421379;267593.443023334;207323.794059311;199154.988156997;202530.654678575;82852.9744272039;79268.3146600804;86847.469516002
Q9BX69;4;1;14.6832;1.11022302462516E-16;1.00504400123962E-15;5.06237396257173;1;W28;W8;117779.4518;Caspase recruitment domain-containing protein 6 OS=Homo sapiens OX=9606 GN=CARD6 PE=1 SV=2;22499.6329175132;19059.2579876648;18662.1480252065;28201.0615875352;30445.7559714459;30876.4848459629;7134.48138695963;6951.97821462245;7770.12790064965;7656.82176349375;7607.11485000261;7965.57073709187;12547.9935569846;12326.2876940071;12344.2068934598;12417.7957386013;10948.2950655038;11836.8946876328;23313.0358308624;22915.9883397276;24236.8312780818;36486.6675583019;37735.8520106031;36423.6999130636
Q9NZJ4;13;9;80.0851;1.11022302462516E-16;1.00504400123962E-15;3.37295234595013;1;W20;W28;526829.6593;Sacsin OS=Homo sapiens OX=9606 GN=SACS PE=1 SV=2;206113.611262052;178865.149946531;183179.32264026;141863.481499649;142287.863293159;145128.904836951;370556.818792209;360281.418266033;368899.560506038;256631.677472315;253267.05894917;256212.01014737;377457.262613062;383980.181206837;410429.881105837;429641.41922051;454211.786835169;448105.986934645;301303.390211785;305760.993306134;307347.251062788;123000.32118153;132638.382585914;139255.459083565
P13671;45;36;356.3265;2.22044604925031E-16;1.90958360235527E-15;3.12597887262427;1;W20;W2;108435.9127;Complement component C6 OS=Homo sapiens OX=9606 GN=C6 PE=1 SV=3;81617.9235625095;76656.6343895536;73477.3317750378;78437.2809223786;81005.056136727;82893.206504233;140494.94241482;149070.333844239;140667.734961367;148980.033155075;162165.714199958;163123.481912014;184301.592774565;187236.435714326;199510.223717939;232817.411099929;240458.789218514;251175.310659223;175615.566106011;171664.389348527;173536.592159211;86873.3404308723;81998.9438157374;88679.9836319395
Q5T1M5;5;1;34.661;2.22044604925031E-16;1.90958360235527E-15;43.0844701178393;1;W28;W20;134143.2071;FK506-binding protein 15 OS=Homo sapiens OX=9606 GN=FKBP15 PE=1 SV=2;49986.3416518125;64398.8860963485;67176.8416913562;268872.069272008;284207.522688117;297583.560272999;19383.5843645987;26181.0785676032;15804.7691086701;29880.0963803708;23866.4784920614;23714.396022214;23650.9657386849;24239.4229234073;25021.2634617238;15892.1268095213;19543.6839472285;17916.0393652941;97716.9580260464;96703.8915179606;103752.079726037;725974.245129068;726494.581003501;846167.366182071
"P0DOX2;A0A0J9YVY3";32;9;324.7796;3.33066907387547E-16;2.79451258881259E-15;3.021562813411;1;W8;W2;49846.6552;Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2;129784.881952303;137613.562466689;136896.656587282;130410.660232052;134828.668883282;140694.869508164;411134.43125003;417151.414734109;393317.196860663;219668.24515428;218414.549512411;200678.027229111;209325.598009051;215741.642790969;229596.775712852;241899.083077915;254742.411469844;260848.637957401;267205.539912928;269849.144854756;267622.870123581;139038.968775181;139219.09662735;146388.013690119
P02656;21;18;136.4004;5.55111512312578E-16;4.5466276246554E-15;3.95096310475152;1;W8;W2;10852.3286;Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1;86381.2005765556;102455.927489283;92653.815203659;171390.550365375;169247.96959781;173778.459475905;372913.917274962;373232.298370361;366014.115534166;325814.693341508;314541.864164098;296153.466279784;253918.011232986;263651.566662939;269048.065769596;323249.330671412;311093.908148701;309489.673365373;251127.276967563;257843.717529616;258074.734634031;305147.790008589;314911.291707717;342516.406560378
P19827;70;67;504.9026;6.66133814775094E-16;5.32907051820075E-15;4.54580078478895;1;W20;W28;101845.5159;Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens OX=9606 GN=ITIH1 PE=1 SV=3;332851.665798803;329722.049466242;299859.966282513;325503.647635754;335955.41120944;353317.198128235;921291.249650886;892617.946502705;944734.607715161;514315.677490812;465909.174441858;460685.597095875;490458.01325929;497616.198926788;518993.643360128;994962.448333149;994725.10568785;1001721.64010767;518278.510262347;472551.867287786;462435.430355908;217135.235409995;203251.041399108;237673.619730678
P01876;89;68;403.488;8.88178419700125E-16;6.94394037220098E-15;1.83620199742602;1;W8;W12;43646.9234;Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=3;1153356.77249492;1106930.3096353;1095703.53911483;1213893.86330465;1229542.78701258;1272141.75435488;2039484.72313309;2075313.1419136;2019640.98809117;1112335.73060848;1093545.0648336;1134949.27757663;1505422.36417141;1543623.91694458;1624598.58415843;1542688.1376375;1594775.24644926;1595784.45135001;1893901.68299783;1884274.48493358;1927336.52854413;1648103.12146764;1589435.32200815;1631745.46107566
O14578;8;5;49.1887;9.99200722162641E-16;7.3132989026372E-15;21.1060996984691;1;W8;W28;233484.3796;Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2;62917.7527515324;57953.3406163396;53638.1256480629;17473.0816686879;11848.7379957975;11445.7143940088;192099.650572677;199152.834743786;217679.149556686;113825.773819671;112634.09760804;114391.155187358;118777.391973786;132572.459661883;139188.640332373;168078.7049813;171999.522282375;180619.126100261;71367.5425338763;68740.2510304543;69990.9952392307;8574.82199114575;8556.02984295631;11720.126962199
P04180;10;7;63.109;9.99200722162641E-16;7.3132989026372E-15;8.6168680263171;1;W12;W28;49920.1701;Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens OX=9606 GN=LCAT PE=1 SV=1;44697.6703190452;46634.4310431817;47100.5986762125;42853.9272735182;41834.0434180467;42140.8499064915;161042.89942728;202122.024076793;188516.569715171;297296.991714619;358168.216478264;417313.903190985;218007.68547284;210471.098943864;217920.596135753;269315.676349136;253119.801134322;292718.53241772;130851.13601225;134709.287137143;126314.842860467;47149.7759828433;37848.9830871464;39498.8087362541
Q5T4I8;1;1;12.3798;9.99200722162641E-16;7.3132989026372E-15;2.3565194555408;1;W8;W4;17611.0982;Putative uncharacterized protein C6orf52 OS=Homo sapiens OX=9606 GN=C6orf52 PE=2 SV=2;642397.126563188;627505.611003851;606036.763741699;553944.179278108;589334.825538484;565016.69128341;1391936.37686151;1350203.93072359;1283491.73609117;969898.704899641;980440.380887227;966883.229437295;958979.52026848;1002044.19525959;1014130.35001573;976900.904685453;1074403.20573034;1039387.73468274;953514.911966653;944112.343014554;945611.666804499;635508.54391958;603733.623443985;628155.99635039
"P00747;Q15195;Q02325;Q6ZUS5";96;81;737.7825;1.55431223447522E-15;1.11392376804057E-14;2.55716878466372;1;W24;W12;93306.4078;Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2;167852.941946177;160917.540185783;161570.902744265;220379.664735288;226504.543016191;234361.10694895;152767.291140163;166630.512689968;164419.021197305;107039.928673855;106711.656697914;106497.355170497;193630.79327113;199375.84497159;202656.418041947;142789.433556948;150599.678631236;147948.062460855;273297.069891925;272605.55011064;273027.974073745;219913.326312883;214608.47238163;236574.686941243
