Accession;Peptide count;Unique peptides;Confidence score;Anova (p);q Value;Max fold change;Power;Highest mean condition;Lowest mean condition;Mass;Description;W2_20241203_LSanders_A2_01;W2_20241203_LSanders_A2_02;W2_20241203_LSanders_A2_03;W4_20241203_LSanders_A3_01;W4_20241203_LSanders_A3_02;W4_20241203_LSanders_A3_03;W8_20241203_LSanders_A4_01;W8_20241203_LSanders_A4_02;W8_20241203_LSanders_A4_03;W12_20241203_LSanders_A5_01;W12_20241203_LSanders_A5_02;W12_20241203_LSanders_A5_03;W16_20241203_LSanders_A6_01;W16_20241203_LSanders_A6_02;W16_20241203_LSanders_A6_03;W20_20241203_LSanders_A7_01;W20_20241203_LSanders_A7_02;W20_20241203_LSanders_A7_03;W24_20241203_LSanders_A8_01;W24_20241203_LSanders_A8_02;W24_20241203_LSanders_A8_03;W28_20241203_LSanders_A9_01;W28_20241203_LSanders_A9_02;W28_20241203_LSanders_A9_03
P02655;14;12;132.6747;1.765254609154E-14;1.30389661177412E-14;2.11125795050545;1;W0;W2;11283.89;Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC2 PE=1 SV=1;170308.525914734;160973.852205324;155209.726978601;219349.270727389;221286.011147581;232553.849121132;242415.469748503;222294.904070407;237603.635700839;183394.778774516;183187.615607602;183143.643105874;260283.72422169;276764.88462309;274253.958166334;235090.040994091;243568.933595116;236504.001002354;294326.203837435;312863.144634201;289549.952816925;319987.736149857;332453.396654844;329314.018730967
"P0DOX6;A0A0C4DH43";45;17;473.6754;2.88657986402541E-14;1.85044299029431E-14;1.598460040988;1;W4;W12;64284.357;Immunoglobulin mu heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2;431869.230660249;409812.618173522;419911.708764618;534278.745093879;556689.858573896;559871.490978077;386926.340252306;389177.831652164;395192.674959352;341813.901322734;349135.116452601;341820.055154057;376960.217018578;375225.508228593;375957.538921315;377438.37048796;376675.267308543;363879.829316213;384651.505879217;396085.805460362;385131.594629476;421189.691184127;438099.303491398;425825.79408956
P01871;98;65;499.671;2.88657986402541E-14;1.85044299029431E-14;1.598460040988;1;W4;W12;52550.9046;Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=5;1474131.04596455;1398843.58641161;1433315.55597884;1823692.98256738;1900190.48646461;1911050.58663123;1320724.16873821;1328409.35012328;1348940.25769033;1166738.55905819;1191728.60176306;1166759.56438378;1286706.06644302;1280784.85719383;1283283.55146082;1288338.18288918;1285733.42661531;1242057.81591628;1312959.30906374;1351988.84579563;1314598.03134663;1437677.78747636;1495396.6123143;1453502.53890571
P01602;12;7;74.1086;3.04201108747293E-14;1.85044299029431E-14;2.31447744220522;1;W4;W12;12952.663;Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2;77811.2266360264;79136.0719857153;75087.3315192808;123427.02983208;126298.238997792;129030.634617493;63060.816857018;66372.4477243026;66273.7327259152;53803.1683622284;54930.1742949192;54913.0582714735;73433.5342340554;70517.0798742956;69589.1567162933;72472.4013625992;81698.8466524618;75014.8479590079;78218.9396829733;87844.3706386377;77623.024169534;94628.3454280364;94676.6731470658;91494.8465188117
P04196;48;47;268.9639;4.06341627012807E-14;2.33443963617422E-14;1.85336690681904;1;W4;W20;60547.8329;Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1;253905.895761257;239122.529604444;229322.91421542;346143.167413776;361657.354496382;354827.001650946;209394.825920401;204293.808449778;210246.000806063;215104.403171515;218834.905465942;215594.486081159;202775.118167067;207495.718631461;207177.912011069;196855.498422173;196422.643731727;180071.646089006;213317.351916863;229189.378127839;211147.379299491;196257.759171407;195211.684983771;198192.861008741
P57055;2;2;12.4942;1.59205981731247E-13;8.66502097913846E-14;10.9716822596648;1;W0;W12;20539.4462;Protein ripply3 OS=Homo sapiens OX=9606 GN=RIPPLY3 PE=1 SV=1;23451.9065509995;20048.9522886759;17912.6947874279;102893.223195136;113456.521906833;108914.097834606;15588.8813262646;20392.9551421557;14839.6046559707;13869.731606822;15615.5114558466;13889.7924662598;16235.3155254723;15878.6075217267;16915.2492400612;18675.0018870086;18807.8315881072;21632.8407938651;28251.2303959236;27466.3605556133;26101.1953704901;25259.3988160627;24852.8083770591;24935.9032376171
"P31151;Q86SG5";2;2;12.0429;2.28261853862932E-13;1.16284616068912E-13;51.4649608217839;1;W12;W28;11585.0665;Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4;15563.6547670759;16980.1832450842;17068.2964098639;18061.6027063301;18980.0744071109;20472.9444708698;10571.6675201498;9393.8263762634;9631.52682693976;21677.4729889445;20984.3403647479;23650.3405624228;16993.1439654359;19673.5656190939;18545.6243704362;19185.9424789395;19897.0772519765;18653.1953312118;11605.3312230498;13249.0017052293;12711.0307995293;511.506516105678;369.962773600981;407.022003345038
P01591;17;15;100.9625;2.36144437337771E-13;1.16284616068912E-13;1.71657540279134;1;W4;W8;18554.8268;Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4;155426.157946616;143588.352459687;144263.445808403;179213.78446003;178070.494236018;185343.667824625;106923.09811635;104517.658432893;104669.998409904;139013.592323178;137471.629722445;140749.392718208;116299.006617271;114698.454314908;114534.899686588;102704.282506524;107217.795672551;106904.173849289;109565.865842272;114968.816008608;110376.219849287;122840.351398613;108362.075266874;114137.193384919
"P68871;P02100";39;25;249.7276;7.84816656107523E-13;3.68900606291703E-13;2.29695933074243;1;W28;W16;16112.4817;Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2;294933.534995821;281845.909951332;275261.847235599;378662.231336336;402311.645279769;390545.919260113;249425.9086751;251283.223541028;259498.038546577;260298.870820683;253867.571761541;259684.698760971;212020.392442763;208207.061957035;202830.38950782;264644.024116868;271915.941500969;269605.93238228;368589.76779807;398760.113590861;366531.816980429;465596.082725922;480537.365793828;485005.079636111
P02671;198;183;1025.3039;1.4729328867702E-12;6.62245416674055E-13;1.83083176648695;1;W28;W8;95714.5217;Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2;749373.591564377;712178.683354912;724556.144635228;944669.166350184;995988.479251758;1004289.41061589;597340.57933004;573925.297002266;604815.371667274;703210.061303377;697233.122937454;696100.353714498;705947.011830323;695487.68993178;704603.012425395;664595.584610052;654762.625049182;630732.254285353;862021.778784796;926945.29890119;867798.55434689;1066262.2198876;1090387.33860105;1095056.41021076
P00488;25;17;175.512;2.42450504117642E-12;1.04466173718796E-12;1.47044796164375;1;W0;W28;83781.6826;Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=5;188268.3687042;183144.064193892;180120.91790231;209496.878286824;213032.395773089;207406.6770644;181488.398428816;175267.928519783;185314.845906086;181486.70405291;178826.089255313;179986.93593283;201285.856981504;203662.162854565;199256.392350411;160697.890989355;156915.412427493;152620.438533669;170275.679791932;184342.716383079;172863.670801969;146780.118871139;149042.963944512;144296.323729396
Q15848;3;3;15.6558;2.66842103968656E-12;1.10376898338585E-12;9.50146162837975;1;W28;W12;26527.7384;Adiponectin OS=Homo sapiens OX=9606 GN=ADIPOQ PE=1 SV=1;7689.06360236885;11766.9697963593;10105.4468277908;14447.9597252735;15097.9892592445;13726.9019803545;7065.1640731107;8062.93310937396;8137.98527357044;6754.5538860473;7523.58818333454;7409.60268378489;7664.21303249728;8275.57634138523;6877.46245720305;8166.58782173303;8914.90750326207;8404.2165456383;8007.57573072811;8038.25360855106;9596.13878673377;69076.1104432439;68140.2176330067;68848.9465020573
P02656;18;15;136.1189;3.86679577246696E-12;1.53794826144348E-12;2.59638027504732;1;W0;W12;10852.3286;Apolipoprotein C-III OS=Homo sapiens OX=9606 GN=APOC3 PE=1 SV=1;302153.403989914;265831.155734185;285934.167230757;405065.065580718;418888.181667441;418354.83460387;410663.214777017;409661.192434565;415388.234744913;276437.398830445;278055.223346124;287174.079461819;417107.147034763;400459.723111746;409881.370870486;430642.333602981;426061.057503346;413924.53142358;481347.843724825;552674.294829311;507353.316639334;657846.435489319;656287.362705547;681706.561374658
Q5VZM2;8;3;63.3556;1.41978651058139E-11;5.43779861553492E-12;2.35946126654388;1;W28;W12;43706.794;Ras-related GTP-binding protein B OS=Homo sapiens OX=9606 GN=RRAGB PE=1 SV=1;21251.1858216371;19557.0261117207;19991.0897025687;26776.7949628982;25849.8310948143;29929.8682326993;18984.2600165887;20106.6940766082;19477.1261879611;16752.7735071367;17111.1726966705;16887.0019482219;30351.9189023626;30636.7432089719;26728.7255061543;31424.8003828787;28074.5521653107;29605.998539708;36946.9427220866;39401.1729327668;33718.007673356;39039.477037791;41065.3792636728;39640.0401036256
Q8TDY2;6;4;34.4678;1.56366031234256E-11;5.77494989293997E-12;5.90726793549521;1;W2;W28;185201.194;RB1-inducible coiled-coil protein 1 OS=Homo sapiens OX=9606 GN=RB1CC1 PE=1 SV=3;26461.0985755139;27517.3561411862;26941.8442144873;18569.6640965626;17375.9318664826;20039.6078956746;7737.14581637545;7546.51117491429;7729.77644552433;19167.5131485532;18812.7979026362;21065.5872724547;14467.2177984433;14510.4200307492;13858.5023937778;13327.1676635142;12884.5306698566;12641.5538835252;11571.9576171941;10579.3024306712;9858.14226997584;4492.45231159784;5109.70056760769;4096.27756525742
P02679;123;106;560.5221;1.62005964199352E-11;5.77692652215625E-12;2.12745062671625;1;W28;W8;52139.0338;Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3;759279.332556409;706586.696753639;708000.658362066;1062263.19994835;1110135.65484388;1091679.76870388;605049.270449499;603611.15694037;622605.433425796;696708.06271074;702627.95321933;701895.425193647;727954.456678142;736816.547333394;754963.233212263;689503.795947308;686627.909706309;674899.61150049;991113.589218856;1046670.22699553;979048.998919304;1271237.38098154;1298762.55756374;1325927.76473108
A0A075B6J9;2;1;14.0109;2.16726636637077E-11;7.47058953077981E-12;2.53076921771887;1;W4;W28;12525.7798;Immunoglobulin lambda variable 2-18 OS=Homo sapiens OX=9606 GN=IGLV2-18 PE=1 SV=2;39728.9522843289;35580.9903297197;37209.8054184967;56449.425450932;55525.8735009866;53193.6740969231;38618.4660994641;35233.4880021213;37884.7924515209;33353.0940345967;30590.7875182556;32736.9149468571;36363.8460868572;37241.4628399138;37841.0699337274;38529.8849496065;37757.2017961729;36574.3932770075;38109.8546586377;39429.6739150309;39355.6642574512;21577.4871132499;24586.3565787821;19100.4924996807
P07737;6;5;59.7454;3.28842508778848E-11;1.09695824648856E-11;4.14796277533634;1;W2;W28;15225.3488;Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2;110556.932207695;103473.561984807;118053.257948336;70970.0135969429;65856.2198995622;71975.3108054108;39220.2836707353;37960.1061740161;40077.9531685617;66589.1070399789;68143.3234620917;70455.5309940231;47088.7207251358;45892.4551483273;44516.07697374;47806.7679775124;52237.6972401474;51941.5256598064;31142.0921720198;29751.4793896444;31061.3957912889;23830.1155455382;26316.0121483048;29913.3545453412
Q7Z4L5;8;7;38.6315;3.62045948776313E-11;1.16997761409173E-11;2.85062556138783;1;W2;W28;152476.9443;Tetratricopeptide repeat protein 21B OS=Homo sapiens OX=9606 GN=TTC21B PE=1 SV=2;30910.9327007965;25756.4471801491;27204.2454576003;18580.7781293451;19713.7333290702;20997.8735177449;12427.8265999424;12077.5570963226;11619.6678150324;18082.9021495129;17910.0879981629;17635.4328433806;12763.4393243331;14598.1570265242;12035.9174661362;11559.4283399729;10876.1667803246;11258.9306558719;12617.5508286881;11058.0434113754;11487.6242088986;9957.83589580139;8553.2856901895;10911.0608551547
P11532;30;17;158.9161;4.03928002157272E-11;1.2657672653811E-11;2.12313137234955;1;W4;W8;428831.3282;Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=4;116767.583734561;116707.441829451;117182.795663856;124715.971337219;132864.711616246;137415.1307225;67948.4645308753;56994.0263633294;61101.4905664644;85925.9585248786;80967.7269357801;83715.9858775021;82296.6823417559;78028.3508206098;72710.6052730646;77306.7841316357;77690.2126194797;76503.0019857765;121684.932108862;135794.144358557;110976.014794564;104028.24006913;123060.88549957;120072.867048686
O76013;3;1;25.2868;4.36196634368002E-11;1.32668320602139E-11;59.9522089624655;1;W28;W2;53387.6796;Keratin_ type I cuticular Ha6 OS=Homo sapiens OX=9606 GN=KRT36 PE=1 SV=1;96.4490090239015;56.6367436632354;96.5661534574025;863.415125146097;880.370011671414;881.82203334404;2680.49541277828;3058.75618782043;2778.74441177758;341.615490294459;454.770421279388;393.39573091974;1375.44749484422;1189.5552520179;1343.97210727768;1256.21898158271;957.471454476518;929.408689309901;1906.57836138465;2433.85580719848;1980.62857000741;5049.92498735691;4952.84080980511;4964.41744789322
P02743;32;28;121.6423;4.55581128377958E-11;1.34605101519025E-11;1.60510520235183;1;W20;W24;25501.2065;Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2;128656.88728749;130392.902885215;128266.379264382;123583.520107391;126178.794537379;124550.010597715;109387.985068772;104355.94875489;107755.74487816;103295.823072763;108294.396814955;103178.918071273;149279.608633323;144091.816345931;140887.647945667;152681.562186986;158766.390267341;156432.971086873;95626.3875009248;100388.074484432;95481.0255725005;148089.609916118;152889.796855216;161100.681277458
Q96FQ6;2;1;11.0275;4.74356109947394E-11;1.36236738738952E-11;9.74453323529978;1;W28;W12;11858.4472;Protein S100-A16 OS=Homo sapiens OX=9606 GN=S100A16 PE=1 SV=1;3514.76890563647;2482.95182134219;3035.81711341217;6689.00844728895;6911.25875472303;8795.96545554099;4959.95784006808;6565.57987746002;5184.93136690147;1858.96575225371;2158.91059812237;1505.97295036714;4493.69205493645;4728.08210757717;3977.61541417667;7175.3318579014;6211.24410794519;7813.92207098319;7534.49900724213;6352.6725926193;5951.77516008981;19154.5543339416;19426.1703228985;15246.6084410396
P51884;17;11;124.4855;4.87452300745872E-11;1.36236738738952E-11;2.70718373372589;1;W4;W28;38771.222;Lumican OS=Homo sapiens OX=9606 GN=LUM PE=1 SV=2;74641.1175408706;75161.3547567219;70204.9061704427;79143.2600035591;78179.1316639193;77332.232868655;61947.0466188405;57346.6325110473;61306.8804740717;72911.1219824226;73150.7632629405;72484.6015677169;68111.0793011659;67287.6009228884;69583.6711625209;62008.5564382913;63206.3241918635;62689.914394122;57486.9205560363;57803.1285678773;58606.0818036776;29069.8053091706;28255.1541895774;29353.5402324758
P22891;4;4;29.0888;8.88052964498343E-11;2.4166797893794E-11;6.56148391487619;1;W28;W12;46055.59;Vitamin K-dependent protein Z OS=Homo sapiens OX=9606 GN=PROZ PE=1 SV=2;9317.4546836095;8112.1651896795;9302.61414666812;10439.4030311647;10829.5832149779;11671.2514559948;10312.9485016888;9537.39659260545;9200.03232585876;5731.48235045634;5525.51160955439;5212.57040104274;10392.293441559;9820.47958202136;10087.722989846;11227.6309648834;11732.3530187009;12510.0302949984;16924.1730401757;18914.3904477886;16686.1093970084;35960.5872940572;34803.4737672365;37300.7205787767
Q14244;25;11;148.5551;1.1154999146612E-10;2.95779978280574E-11;1.66216858852447;1;W4;W12;84165.912;Ensconsin OS=Homo sapiens OX=9606 GN=MAP7 PE=1 SV=1;154890.868611438;137105.017437451;139642.040276946;233809.582453803;208610.226911279;205660.597923365;129108.759145183;132258.114196309;132137.466108087;130997.500781821;129435.647755766;129467.377656182;132060.580318072;134132.69404957;138894.073109537;144807.944100851;142377.017572435;140127.445787221;147721.435727561;151463.452631793;143735.951714448;182984.586608107;182143.279939745;182818.287289496
P08603;143;119;865.2626;1.27121202453395E-10;3.28641072548028E-11;1.49179910962737;1;W28;W12;143772.7447;Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4;484070.466067549;455225.965254954;460256.198203523;527617.935726373;551084.300150281;553596.153222415;468421.024294252;465915.358836702;481863.557231524;450572.72659794;456677.132578692;442445.681399522;533956.823945651;537494.176044129;545800.907355127;625236.760037103;611101.084240225;597928.021694513;550373.117438336;612371.079102933;563212.550024603;648255.232722487;676309.14231065;688910.230666398
Q8IWC1;32;27;208.2508;1.30949362464605E-10;3.30280832045448E-11;8.08992627180289;1;W28;W2;98771.653;MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2;48240.3712125924;49180.0138184813;44442.9374603982;97120.8463065893;94479.3923846273;94476.3695132161;158185.180398507;167019.03506991;162998.004828687;55719.0868279723;56143.3340482735;55988.0975901166;105366.229865174;103726.955802641;102696.29190464;100329.268824739;98397.6371795473;100136.543872115;163766.707097427;154297.333411395;163330.385112619;373203.454874401;390367.544383305;384092.820371298
Q96Q89;8;4;59.0645;1.66124669576107E-10;4.09023893152334E-11;1.77396617442885;1;W0;W24;211998.4031;Kinesin-like protein KIF20B OS=Homo sapiens OX=9606 GN=KIF20B PE=1 SV=3;787495.394416087;765093.473349935;743010.695105658;691187.501925812;710271.159897325;689033.971339969;528300.763471962;495407.687852895;515047.79305517;537384.943573992;544620.307367927;546419.944613097;521651.894279449;520994.076787953;542896.8629249;519717.389986258;535003.936449569;513009.737445171;421400.897818326;455640.528783943;426882.157481362;585381.25380167;591748.70960497;590355.724879231
Q7Z443;2;1;11.4067;2.01720751213941E-10;4.85116403138857E-11;1.54734665635321;1;W4;W0;198175.0038;Polycystin-1-like protein 3 OS=Homo sapiens OX=9606 GN=PKD1L3 PE=1 SV=1;851616.798113285;832922.996415325;824650.771031548;1045038.70587806;1062774.99698667;1047999.60642392;1001244.49799766;972931.08660627;983559.936224389;970175.980230427;988324.765428747;965817.208949736;828446.867825665;850741.482017037;855068.045461103;824658.870286948;836920.494664018;792562.7103674;998842.077675164;1096424.1009942;995427.22872836;847690.15229489;847881.344675409;846838.0759676
Q15022;3;1;31.2452;2.22450169395927E-10;5.22810020157158E-11;5.63027092083518;1;W0;W2;83796.3157;Polycomb protein SUZ12 OS=Homo sapiens OX=9606 GN=SUZ12 PE=1 SV=3;21241.3685981263;21843.4230531643;23221.6373691808;67707.8600052251;68397.1883334051;72739.6563852558;65021.5122848115;56910.8146517919;53417.8817742881;44684.7965129547;42847.3099488917;43292.4771136164;70728.3845130641;73999.0300614795;68492.8383530619;68047.9291758847;68476.8692492095;67322.4246907759;77388.0153576044;77689.9159431017;81941.057409816;119392.581584094;121206.244597082;127620.677346976
"P01780;A0A0B4J1V1;P01762;P01763;A0A0B4J1X8;A0A0C4DH32;P01766";10;5;78.3667;2.33538410832068E-10;5.36672874815589E-11;1.98109709471467;1;W4;W28;13113.8351;Immunoglobulin heavy variable 3-7 OS=Homo sapiens OX=9606 GN=IGHV3-7 PE=1 SV=2;104476.726514573;101670.846186978;104419.27576244;118129.356389776;117386.032673932;113553.186184937;69371.4209293728;62385.5580905162;66079.3945446247;71606.8880680554;72773.8228521863;75966.8839140145;73550.4240431486;71802.0320447218;71669.0238732753;72526.8664570742;72432.5700746343;72997.2053186021;67097.0189078185;79029.2093134967;65178.2956622117;61329.7165266545;60446.6419157896;54423.2716412695
